Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
9480-1,2/19/2020 17:00,"google,no review",Aurora,80014,Main Area Walls,6190,5340,850,6190,My Website,approved,1,,
9481,2/19/2020 9:30,Castle Rock,Castle Rock,80104,Cabinets - Cabinet Preparation,2770,2360,410,2770,,Awaiting Approval,1,,
9489,2/21/2020 17:00,Bizzbuzz,Denver,80238,Interior Walls Main Area-2 Coats,6970,6060,910,6970,My Website,approved,1,,
9482,2/21/2020 13:30,Facebook,Erie,80516,Exterior Residential Painting - Exterior Preparation,3990,3005,985,3990,My Website,approved,1,,
9483,2/18/2020 11:00,google,Denver,80237,Main Area,7425,6540,885,7425,,Awaiting Approval,1,,
9484,,,Denver,80238,Gel Stain,855,855,0,855,,Awaiting Approval,1,,
9485,2/20/2020 11:00,,Aurora,80012,Basement Ceiling Repair,1250,1250,0,1250,,approved,1,,
9486,,,Aurora,80015,,0,0,0,0,,UNSCHEDULED,,,
9487,,,Denver,80238,Main Area Walls,5960,5145,815,5960,,approved,1,,
9488,2/26/2020 13:30,Erik,Broomfield,80020,Exterior Residential Painting - Exterior Preparation,3581,2735,846,3581,,pro approved,1,,
9490,2/26/2020 10:30,no review,Aurora,80016,Interior Walls-Main Area,3580,2985,595,3580,My Website,approved,1,1,
9510,3/2/2020 13:30,,Denver,80207,Prep,6805,5865,940,6805,My Website,Awaiting Approval,,,
9493,3/6/2020 17:00,,Denver,80238,"Exterior Preparation: Front, Right and Back Reveal",3885,2930,955,3885,My Website,approved,1,2,
9501,3/5/2020 17:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4175,3195,980,4175,My Website,approved,3,,
9511,3/9/2020 9:30,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,5860,4440,1420,5860,My Website,approved,1,,
9480-3,2/19/2020 17:00,"google,no review",Aurora,80014,Main Area Walls,5765,4915,850,5765,,Awaiting Approval,1,,
9491,,,Aurora,80016,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,,,
9492,3/3/2020 11:00,,Aurora,80016,Main Area Walls - 2 Coats,3895,3080,815,3895,interior,Awaiting Approval,1,,
9494,,,Denver,80202,Main Area Walls,2440,1945,495,2440,,approved,,,
9496,3/11/2020 10:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4400,3445,1055,4500,"Exterior,Referral",approved,1,,
9503-1,3/6/2020 13:30,no review,Aurora,80014,Exterior Residential Painting - Exterior Preparation,4395,3345,1050,4395,My Website,approved,1,,
9497,3/6/2020 14:00,,Aurora,80013,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,SCHEDULED,2,,
9498-1,,,Parker,80134,Interior Prep-Addition and Entry,1897,1412,485,1897,,approved,,,
9498-2,,,Parker,80134,Exterior Residential Painting - Exterior Preparation,1555,1175,380,1555,,pro approved,1,1,
9499,3/6/2020 10:00,,Aurora,80011,Exterior Residential Painting - Exterior Preparation,5765,4585,1180,5765,Exterior,Awaiting Approval,1,,
9512,3/9/2020 11:30,,DENVER,80238,Exterior Residential Painting - Exterior Preparation,4340,3410,1100,4510,My Website,approved,1,2,
9500,,,PARKER,80138,Interior Main Level,2280,1785,495,2280,,Awaiting Approval,,,
9521,3/9/2020 15:30,Exterior,Aurora,80016,Main Area,12995,11280,1715,12995,My Website,Awaiting Approval,1,,
9513,3/9/2020 10:30,Erik,Denver,80237,"Interior painting - walls only, no ceilings, trim is separate",2185,1740,445,2185,"My Website,Erik",Awaiting Approval,2,,
9502,,,Aurora,80011,,0,0,0,0,,UNSCHEDULED,,,
9515,3/10/2020 13:30,,Denver,80238,Bedroom Ceiling ,2170,1690,480,2170,My Website,Awaiting Approval,1,,
9503-2,3/6/2020 13:30,no review,Aurora,80014,Dining Room and Living Room Walls,4065,3095,970,4065,,declined,1,,
9514,3/10/2020 17:00,,Arvada,80004,Cabinets - Cabinet Preparation,2940,2410,530,2940,"My Website,Erik",Awaiting Approval,2,,
9554,3/11/2020 12:30,no review,Denver,80238,Main Level Walls-Two Coats,6695,5490,1205,6695,My Website,pro approved,1,,
9519,3/11/2020 11:30,no review,Aurora,80016,Main Area-2 Coats,3860,3230,880,4110,My Website,approved,1,,
9504,3/11/2020 10:00,Erik,Littleton,80130,Paint Interior Walls - All Rooms,6980,5830,1150,6980,Erik,Awaiting Approval,2,,
9505,,,Aurora,80013,Inspect dark residue on East side,5185,4200,985,5185,"Erik,ninja",approved,,,
9506,,,,,Interior Painting - walls,995,680,315,995,,Awaiting Approval,2,,
9507,,,Aurora,80013,,0,0,0,0,,UNSCHEDULED,,,
9508,,,Centennial,80015,Demo,9880,9880,0,9880,,Awaiting Approval,,,
9509,3/14/2020 9:30,Erik,Littleton,80128,,0,0,0,0,Erik,SCHEDULED,2,,
9520,3/13/2020 10:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4960,3875,1085,4960,My Website,Awaiting Approval,1,,
9516,3/24/2020 9:00,Referral,Parker,80134,Exterior Residential Painting - Exterior Preparation,4400,3445,1055,4500,,approved,1,,
9517,3/18/2020 9:15,Erik,Littleton,80128,North side of house,2625,1900,725,2625,"Angie's list,Erik",Awaiting Approval,2,,
9518,3/17/2020 15:30,Erik,Broomfield,80020,Painting - walls only,3795,3050,745,3795,"My Website,Erik",approved,2,,
9524,3/23/2020 10:30,,Denver,80238,Main Area Interior,9480,8395,1085,9480,My Website,Awaiting Approval,1,,
9534-1,3/26/2020 11:30,Erik,Denver,80238,Exterior Residential Painting - Exterior Preparation,5185,4085,1100,5185,My Website,SCHEDULED,1,,
9522,,"BNI,Property Manager,Jim Shonts",Lone Tree,80124,Interior Repair,245,245,0,245,,pro approved,1,,
9523,,interior,Denver,80238,Upstairs Hallway Ceiling,975,695,280,975,,Awaiting Approval,1,,
9525,,Erik,,,Interior Painting - walls and ceilings,0,0,0,0,,UNSCHEDULED,2,,
9526-1,3/23/2020 9:00,Erik,,,"Paint interior upstairs: All walls, ceilings, and trim; no doors",7985,6535,1450,7985,Erik,Awaiting Approval,2,,
9526-2,3/23/2020 9:00,Erik,,,Exterior Residential Painting - Exterior Preparation,3510,2765,745,3510,,Awaiting Approval,2,,
9526-3,3/23/2020 9:00,Erik,,,Paint Downstairs Kitchen Interior,670,670,0,670,,Awaiting Approval,2,,
9526-4,3/23/2020 9:00,Erik,,,"Prep and Stain Back Deck, Stairs, Rails, Lattice",1300,1300,0,1300,,Awaiting Approval,2,,
9526-5,3/23/2020 9:00,Erik,,,Replace all Fascia; prep and paint,1450,1450,0,1450,,Awaiting Approval,2,,
9530,3/26/2020 14:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3995,3020,975,3995,My Website,approved,1,,
9533-1,3/26/2020 11:00,Erik,DENVER,80238,Exterior Residential Painting - Exterior Preparation,4780,3785,995,4780,My Website,pro approved,1,,
9531-1,3/26/2020 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,2765,2120,645,2765,My Website,Awaiting Approval,1,,
9527,,no review,Aurora,80016,Basement-Main Area,1285,1140,145,1285,,approved,,,
9528-1,3/25/2020 14:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4470,3730,1040,4770,,Awaiting Approval,1,,
9529,,,Parker,80138,Upstairs Bedroom,1915,1475,440,1915,,Awaiting Approval,,,
9531-3,3/26/2020 12:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4375,3300,1075,4375,,Awaiting Approval,1,,
9532,,google,Denver,80238,Kitchen Cabinets - Cabinet Preparation,3495,2950,545,3495,,Awaiting Approval,,,
9533-2,3/26/2020 11:00,Erik,DENVER,80238,Exterior Residential Painting - Exterior Preparation,5215,4050,1165,5215,,approved,1,,
9534-2,3/26/2020 11:30,Erik,Denver,80238,Exterior Residential Painting - Exterior Preparation,4895,3800,1095,4895,,approved,1,,
9543-1,4/6/2020 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4995,3875,1120,4995,My Website,approved,1,,
9539,4/3/2020 10:30,,Centennial,80016,Main Level Walls-2 Coats,5120,4310,810,5120,My Website,Awaiting Approval,1,,
9540,4/3/2020 10:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3990,2990,1000,3990,My Website,Awaiting Approval,1,,
9536,,"Nextdoor,Exterior",Aurora,80015,,0,0,0,0,,UNSCHEDULED,,,
9535-1,4/7/2020 13:00,"Nextdoor,Exterior",Aurora,80015,Front Elevation,10630.5,9287.5,1343,10630.5,,Awaiting Approval,1,,
9537-1,,,Fort Collins,80526,Main Area Walls and Ceilings,3470,2880,590,3470,,Awaiting Approval,,,
9537-2,,,Fort Collins,80526,Kitchen Cabinets Preparation,3850,3385,465,3850,,Awaiting Approval,,,
9538,,,Fort Collins,80526,,0,0,0,0,,UNSCHEDULED,,,
9548,4/7/2020 17:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4295,3680,1055,4735,"My Website,no review",approved,1,,
9546,4/7/2020 12:30,Erik,highlands ranch,80130,Exterior Residential Painting - Exterior Preparation,4640,3200,1440,4640,"My Website,Exterior,Repeat,Erik",approved,2,,
9541,4/8/2020 8:00,,Littleton,80123,"Prepare, paint, fleck and seal garage floor (3 bays, approximately 940 square ft.)",5460,4260,1200,5460,"My Website,Littleton,word of mouth BNI,BNI",Awaiting Approval,2,,
9542,,,Denver,80238,Summer Fun,0,0,0,0,,UNSCHEDULED,,,
9543-2,4/6/2020 9:30,,Denver,80238,Pergola ,975,915,160,1075,,pro approved,1,,
9544,,,Aurora,80014,Exterior Residential Painting - Exterior Preparation,3810,3535,775,4310,,approved,,,
9545,4/9/2020 17:00,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4890,4205,1085,5290,,Awaiting Approval,1,,
9549,4/9/2020 12:30,"Erik,Returning Customer",Littleton,80130,Exterior Residential Painting - Exterior Preparation,5545,4985,1110,6095,"My Website,Erik",approved,2,,
9547,4/10/2020 10:00,Erik,Littleton,80127,Exterior Residential Painting - Exterior Preparation,3995,3645,800,4445,Erik,Awaiting Approval,2,,
9553,4/10/2020 9:30,Erik,Littleton,80123,Prepare Garage Floor for Epoxy,3312,2770,680,3450,"My Website,Erik",Awaiting Approval,2,,
9551,4/10/2020 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4695,4100,1095,5195,My Website,Awaiting Approval,1,,
9552,4/10/2020 10:30,Erik,Westminster,80021,Exterior Residential Painting - Exterior Preparation,4890,4170,1020,5190,My Website,approved,1,,
9535-2,4/7/2020 13:00,"Nextdoor,Exterior",Aurora,80015,Exterior Residential Painting - Exterior Preparation,5195,4110,1085,5195,,Awaiting Approval,1,,
9559,4/13/2020 11:30,,Timnath,80547,Exterior Residential Painting - Exterior Preparation,5490,4375,1115,5490,My Website,pro approved,1,,
9558,4/14/2020 9:30,Erik,Highlands Ranch ,80130,Exterior Residential Painting - Exterior Preparation,4095,2805,1690,4495,"My Website,Erik",approved,2,,
9565-1,4/16/2020 14:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4030,3655,825,4480,My Website,Awaiting Approval,1,,
9550,4/11/2020 9:00,Erik,Littleton,80130,Exterior Residential Painting - Exterior Preparation,4435,3405,1030,4435,Erik,declined,2,,
9555,4/13/2020 10:30,,Denver,80238,Kitchen Cabinet Preparation,2690,2230,460,2690,My Website,Awaiting Approval,1,,
9560,4/14/2020 12:30,,3468 Akron Ct.,80238,Exterior Residential Painting - Exterior Preparation,4390,3645,1095,4740,My Website,Awaiting Approval,1,,
9556,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4450,3765,1085,4850,,pro approved,,,
9563-1,4/15/2020 11:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4210,3195,1015,4210,My Website,Awaiting Approval,1,,
9557,,,Denver,80220,Master Bedroom and hallway area to restroom-2 Coats,8260,7715,945,8660,,approved,,,
9566,4/17/2020 14:30,,Brighton,80602,Exterior Residential Painting - Exterior Preparation,4690,4135,1055,5190,My Website,approved,1,,
9567,4/17/2020 11:30,no review,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4205,3145,1060,4205,My Website,pro approved,1,,
9561-1,7/8/2020 8:15,,Denver,80210,Bedroom Addition Prime,3690,3010,680,3690,,pro approved,1,1,
9561-2,7/8/2020 8:15,,Denver,80210,Exterior Fascia,375,265,110,375,,Awaiting Approval,1,1,
9562-1,4/20/2020 10:00,,Aurora,80017,Exterior Residential Painting - Exterior Preparation,3510,2655,855,3510,,Awaiting Approval,1,,
9562-2,4/20/2020 10:00,,Aurora,80017,Concrete Seal,2320,1780,540,2320,,Awaiting Approval,1,,
9563-2,4/15/2020 11:30,,Parker,80134,Back Deck Rails,2755,2755,0,2755,,declined,1,,
9619,4/21/2020 14:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4480,3780,1100,4880,My Website,approved,1,,
9597-1,4/27/2020 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4295,3475,1170,4645,My Website,approved,1,,
9565-2,4/16/2020 14:30,,Parker,80134,Gutters,1880,1880,0,1880,,Awaiting Approval,1,,
9528-2,3/25/2020 14:00,,Parker,80134, Kitchen Cabinet Preparation,2495,2055,440,2495,,Awaiting Approval,1,,
9579-1,4/21/2020 13:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4375,3630,1045,4675,My Website,approved,1,,
9568-1,4/22/2020 10:00,Erik,Littleton,80123,Exterior Residential Painting - Exterior Preparation,6270,4680,1590,6270,Erik,approved,2,,
9592,4/22/2020 17:00,,Denver,80238,Fence,1245,880,365,1245,My Website,Awaiting Approval,1,,
9569-1,5/5/2020 11:00,,,,"Interior Painting - Paint walls of Great Room (Living, Dining), Stairwell",3900,3180,720,3900,,approved,2,,
9570,4/21/2020 10:00,Erik,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,3890,2910,980,3890,Erik,Awaiting Approval,2,,
9590-1,4/24/2020 15:30,Erik,Littleton,80128,Exterior Residential Painting - Exterior Preparation,5220,4165,1055,5220,"My Website,Erik",Awaiting Approval,2,,
9571,4/22/2020 17:30,,Denver,80238,Fencing,1445,1105,340,1445,,pro declined,1,,
9572,4/22/2020 11:00,,Aurora,80012,Exterior Residential Painting - Exterior Preparation,3960,3070,890,3960,,pro approved,1,,
9573,4/23/2020 14:00,Erik,Morrison,80465,Exterior Residential Painting - Exterior Preparation,7340,5260,2080,7340,Erik,Awaiting Approval,2,,
9587,4/23/2020 15:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3475,2785,940,3725,My Website,pro declined,1,,
9574,,Nextdoor,Centennial,80112,Custom Services - Custom design job ,1480,1200,280,1480,"interior,cabinets",Awaiting Approval,1,,
9575,,,Aurora,80011,Exterior Residential Painting - Exterior Preparation,3945,2950,995,3945,,Awaiting Approval,,,
9576,,,Parker,80134,Interior Main Area-2 Coats,2395,1880,515,2395,,Awaiting Approval,,,
9577,4/22/2020 16:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4350,3305,1045,4350,,Awaiting Approval,1,,
9602-1,4/28/2020 15:30,,Littleton,80130,Exterior Residential Painting - Exterior Preparation,3920,2990,930,3920,My Website,Awaiting Approval,2,,
9591,4/24/2020 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,3915,3040,945,3985,My Website,approved,1,,
9568-2,4/22/2020 10:00,Erik,Littleton,80123,Lime Wash Brick,2675,1725,950,2675,,Awaiting Approval,2,,
9578,4/24/2020 9:00,Facebook,Littleton,80126,Exterior Residential Painting - Exterior Preparation,4975,3825,1150,4975,,Awaiting Approval,2,,
9579-2,4/21/2020 13:30,,Denver,80238,Metal Roof ,995,725,270,995,,declined,1,,
9626,4/29/2020 15:30,no review,Lakewood,80228,Exterior Residential Painting - Exterior Preparation,3425,2620,805,3425,My Website,approved,2,,
9580,,,Denver,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,,,
9581,,,AURORA,80014,,0,0,0,0,,Awaiting Approval,,,
9583,4/24/2020 12:00,Facebook,Littleton,80126,Exterior Residential Painting - Exterior Preparation,3999.99,2969.99,1030,3999.99,"Exterior,Erik",approved,2,,
9584,4/28/2020 9:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,2985,2445,840,3285,,Awaiting Approval,1,,
9585,4/28/2020 15:00,google,Littleton,80126,Exterior Residential Painting - Exterior Preparation,3795,2815,980,3795,,Awaiting Approval,2,,
9586,4/27/2020 9:00,Referral,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3835,2795,1040,3835,,approved,1,,
9596,4/27/2020 12:30,,Westminster,80031,Exterior Residential Painting - Exterior Preparation,3920,3235,985,4220,My Website,approved,2,,
9588-1,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5990,4575,1415,5990,,Awaiting Approval,,,
9588-2,,,Aurora,80016,Back Decking Balusters,2095,1805,290,2095,,Awaiting Approval,,,
9589,,,Aurora,80016,,0,0,0,0,,UNSCHEDULED,,,
9590-2,4/24/2020 15:30,Erik,Littleton,80128,Interior Preparation,8465,7035,1430,8465,,Awaiting Approval,2,,
9614,4/30/2020 13:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3175,2680,845,3525,My Website,Awaiting Approval,1,,
9593,4/28/2020 13:00,Advertising,Littleton,80127,Exterior Residential Painting/Staining - Exterior Preparation,5940,4400,1540,5940,,Awaiting Approval,2,,
9594,4/28/2020 10:30,neighbor getting work done,Denver,80230,Exterior Residential Painting - Exterior Preparation,4820,3745,1075,4820,,approved,1,,
9595,4/30/2020 14:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4245,3580,1065,4645,,Awaiting Approval,1,,
9606,4/29/2020 14:30,,Littleton,80125,Exterior Residential Painting - Exterior Preparation,3645,2655,990,3645,My Website,Awaiting Approval,2,,
9597-2,4/27/2020 10:30,,Denver,80238,Main Area-2 Coats,2935,2465,720,3185,,declined,1,,
9598,4/28/2020 14:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4345,3595,1000,4595,,approved,1,,
9599,4/28/2020 14:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4380,3590,1040,4630,,approved,1,,
9613,4/30/2020 8:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4275,3720,1055,4775,My Website,pro declined,1,,
9600,4/29/2020 13:00,BNI,Aurora,80014,Exterior Residential Painting - Exterior Preparation,2990,2490,850,3340,BNI,approved,1,,
9601,6/24/2020 12:00,,Lakewood,80228,Cabinets - Cabinet Preparation - Kitchen and Master Bath,5120,4385,735,5120,,approved,2,,
9628,4/30/2020 15:00,,Wheat Ridge ,80033,Family Room,6825,6585,240,6825,My Website,Awaiting Approval,2,,
9602-2,4/28/2020 15:30,,Littleton,80130,Prepare and Re-stain Deck surface and rails,415,415,0,415,,Awaiting Approval,2,,
9603,5/4/2020 13:00,Referral,Littleton,80130,Exterior Residential Painting - Exterior Preparation,6170,4040,2130,6170,,Awaiting Approval,2,,
9604,,,Aurora,80016,Exterior stair case,655,655,0,655,,approved,1,,
9605,5/1/2020 13:00,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,5310,4815,995,5810,,approved,1,,
9636-1,5/4/2020 12:30,,Highlands Ranch,80130,Exterior Residential Painting - Exterior Preparation,3790,2850,940,3790,My Website,Awaiting Approval,2,,
9607,5/4/2020 9:00,,Parker,80134,Main Level of Home-2 Coats,4300,3890,710,4600,,approved,1,,
9608,5/4/2020 10:00,Advertising,Aurora,80016,Exterior Residential Painting - Exterior Preparation,2900,2535,865,3400,,pro approved,1,,
9609,5/5/2020 10:00,,Littleton,80129,Exterior Residential Painting - Exterior Preparation,3480,2590,890,3480,"Facebook,BNI,Exterior",Awaiting Approval,2,,
9610,5/7/2020 13:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,5857.5,5212.5,1095,6307.5,,approved,1,,
9611,5/1/2020 11:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4325,3565,1060,4625,,Awaiting Approval,1,,
9612,5/4/2020 14:30,google,Arvada,80002,Interior Painting - Trim and Doors,3900,3090,810,3900,,approved,2,,
9615-1,5/4/2020 9:00,Family,,, Exterior Painting - Green Color,3495,2630,865,3495,,pro approved,1,1,
9616,5/1/2020 10:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5020,4280,1040,5320,,approved,1,,
9617,5/1/2020 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4345,3475,1170,4645,,approved,1,,
9618,5/1/2020 10:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4380,3590,1040,4630,,approved,1,,
9620,,,Aurora,80014,Exterior Residential Painting - Exterior Preparation,3390,2700,1040,3740,,pro approved,,,
9644-1,5/5/2020 13:00,,Parker,80134,House Preparation: Exterior Front and Back Reveal,2995,2330,665,2995,,Awaiting Approval,1,,
9621,5/7/2020 16:00,,Denver,80238,Deck Railing ,995,730,265,995,,pro approved,1,,
9622-1,5/5/2020 14:00,"Referral,no review",Aurora,80016,Exterior Residential Painting - Exterior Preparation,4900,4135,1065,5200,,pro approved,1,,
9623,5/6/2020 13:30,,Littleton,80130,Exterior Residential Painting - Exterior Preparation,3220.4,2470,850,3320,,Awaiting Approval,2,,
9624,,no review,Aurora,80014,Exterior Preparation Entire Home,3775,3455,570,4025,,approved,,,
9625,,,Aurora,80016, Exterior Preparation,4395,3720,1075,4795,,Awaiting Approval,,,
9597-3,4/27/2020 10:30,,Denver,80238,Front Porch and Fire Pit,1395,985,410,1395,,pro approved,1,,
9627,,,Littleton,80126,Painting quotes - Free Exterior Consultation,0,0,0,0,,UNSCHEDULED,2,,
9650,5/7/2020 15:30,,Denver,80207,Exterior Residential Painting - Exterior Preparation,5270,4360,1310,5670,My Website,approved,1,,
9638,5/4/2020 13:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4768,4103,1065,5168,My Website,approved,1,,
9629,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4385,3580,1105,4685,,Awaiting Approval,,,
9630,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4350,3590,1060,4650,,Awaiting Approval,,,
9631,,,Aurora,80015,,0,0,0,0,,UNSCHEDULED,,,
9648,5/6/2020 10:30,,Broomfield,80020,"Cabinets - Cabinet Preparation - Kitchen, Master Bath, Upstairs Hall Bath",11540,14630,1060,15690,My Website,approved,2,,
9632,5/5/2020 16:30,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,4245,3205,1040,4245,Facebook,Awaiting Approval,2,,
9633,5/6/2020 14:00,google,Lone Tree,80124,Trim Replacement and re-paint,1040,620,420,1040,,approved,2,,
9634,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4885,3995,1140,5135,,approved,,,
9649,5/6/2020 14:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4280,3465,1065,4530,My Website,Awaiting Approval,1,,
9635-1,5/7/2020 9:00,Residential,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4225,3565,1060,4625,,Awaiting Approval,1,,
9636-2,5/4/2020 12:30,,Highlands Ranch,80130,Recommended wood replacement,330,330,0,330,,Awaiting Approval,2,,
9637,5/7/2020 15:30,,Morrison,80465,Exterior Residential Painting - Exterior Preparation - all buildings/structures,11655,8995,2660,11655,,approved,2,,
9652,5/8/2020 8:00,,Castle Rock,80104,Exterior Residential Painting - Exterior Preparation,3320,2420,900,3320,My Website,Awaiting Approval,2,,
9639,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4820,4355,1065,5420,,pro approved,,,
9615-2,5/4/2020 9:00,Family,,,Fence,790,515,275,790,,pro approved,1,1,
9640,5/8/2020 10:00,Residential,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3985,3290,995,4285,,approved,1,,
9641,5/11/2020 15:00,Residential,Centennial,80016,Exterior Residential Painting - Exterior Preparation,3790,3080,1060,4140,,pro approved,1,,
9569-2,5/5/2020 11:00,,,,Paint all three sections of popcorn ceilings,2960,2960,0,2960,,Awaiting Approval,2,,
9643,5/8/2020 9:00,,Castle Rock,80104,Exterior Residential Painting - Exterior Preparation,10280,7560,2720,10280,,approved,2,,
9622-2,5/5/2020 14:00,"Referral,no review",Aurora,80016,Garage Floor,2395,1885,510,2395,,pro approved,1,,
9644-2,5/5/2020 13:00,,Parker,80134,Interior Main Area,2350,1910,440,2350,,Awaiting Approval,1,,
9669,5/12/2020 14:30,,Denver,80238,Interior Walls,4640,4145,845,4990,My Website,approved,1,,
9645,5/11/2020 13:00,Nextdoor,Aurora,80016,Family Room-Drywall Repair,2475,2065,410,2475,,approved,1,,
9672-1,5/13/2020 13:00,,Highlands Ranch,80130,Cabinets - Cabinet Preparation,2975,2495,480,2975,My Website,SCHEDULED,2,,
9646,5/11/2020 14:00,,Denver,80230,Exterior Residential Painting - Exterior Preparation,3695,3130,865,3995,,Awaiting Approval,1,,
9647,5/11/2020 10:00,Nextdoor,Littleton,80123,Interior Prep,10240,8620,2020,10640,,approved,2,,
9622-3,5/5/2020 14:00,"Referral,no review",Aurora,80016,Main Area Walls-2 Coats,3740,3370,670,4040,,pro approved,1,,
9657,5/11/2020 8:00,,Parker,80134,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",4365,3605,1060,4665,My Website,pro approved,1,,
9651,5/12/2020 11:00,Facebook,Littleton,80130,Exterior Residential Painting - Exterior Preparation,3955,2955,1000,3955,,approved,2,,
9658-1,5/11/2020 9:30,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,3880,2990,890,3880,My Website,approved,2,,
9661,5/11/2020 10:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4455,3690,1065,4755,My Website,Awaiting Approval,1,,
9653,5/4/2020 11:00,,Denver,80238,Exterior Residential Painting - Exterior Painting - 2 Coats,0,0,0,0,Residential,SCHEDULED,1,,
9662,5/12/2020 17:00,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,3760,2725,1035,3760,My Website,approved,2,,
9676,5/12/2020 17:00,,Aurora,80016,Fence,1460,1050,410,1460,My Website,approved,1,,
9635-2,5/7/2020 9:00,Residential,Aurora,80016,Exterior Residential Painting - Exterior Preparation,2525,2250,475,2725,,Awaiting Approval,1,,
9635-3,5/7/2020 9:00,Residential,Aurora,80016,Gutter Install ,440,440,0,440,,Awaiting Approval,1,,
9654,5/13/2020 10:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,3840,3145,995,4140,,pro approved,1,,
9655,5/13/2020 11:00,Referral,Denver,80238,Front Railing,895,635,260,895,,approved,1,,
9675,5/14/2020 8:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5120,4130,1240,5370,My Website,approved,1,,
9656,5/12/2020 12:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,3890,3330,860,4190,,Awaiting Approval,1,,
9671-1,5/13/2020 15:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4440,3775,1065,4840,My Website,approved,1,,
9670,5/13/2020 15:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3590,2945,995,3940,My Website,Awaiting Approval,1,,
9685,5/19/2020 12:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,3790,3245,895,4140,My Website,approved,1,,
9658-2,5/11/2020 9:30,,Highlands Ranch,80126,Exterior Preparation and Wood Replacement,2490,2070,420,2490,,declined,2,,
9659,,Residential,Centennial,80016,,0,0,0,0,,UNSCHEDULED,,,
9660,5/19/2020 11:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4460,3745,1065,4810,"Stapleton,Exterior",approved,1,,
